video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=uWY73ioehkQ&pp=ygUFNDllcnPSBwkJhwoBhyohjO8%3D,/@cohnzohn,Grant Cohn,Cohn & Krueger: What Grant and Larry are Hearing Off the Record About the 49ers,18K,Streamed 5 hours,"Grant Cohn and Larry Krueger discuss what they're hearing off the record about the San Francisco 49ers, plus much more.",2026-01-22 06:02:36.517038
/watch?v=PGJJqxkzkho&pp=ygUFNDllcnM%3D,/@49ers,San Francisco 49ers,Kyle Shanahan and John Lynch Review the 2025 Season | 49ers,20K,Streamed 9 hours,49ers #NFL Hear from head coach Kyle Shanahan and President of Football Operations/General Manager John Lynch as they ...,2026-01-22 06:02:36.518821
/watch?v=C9hsiEKWrzg&pp=ygUFNDllcnM%3D,/@49ersTV,49ers Report by Chat Sports,ESPN Has CRAZY Predictions For The San Francisco 49ers This Offseason,21K,11 hours,San Francisco 49ers offseason: 49ers news and 49ers rumors are well underway and ESPN has some crazy 49ers offseason ...,2026-01-22 06:02:36.520009
/watch?v=vFO37VNB8fs&pp=ygUFNDllcnM%3D,/@cohnzohn,Grant Cohn,Players on the 49ers Who Won't be Back Next Season,8.4K,10 hours,Grant Cohn discusses the players who won't be back on the San Francisco 49ers next season. Join this channel to get access to ...,2026-01-22 06:02:36.521260
/watch?v=pftkCZLOCrU&pp=ygUFNDllcnM%3D,/@49ers,San Francisco 49ers,"Kyle Shanahan, John Lynch Reflect on 2025 Season, Address Injuries and Roster Turnover | 49ers",7.8K,7 hours,49ers #nfl San Francisco 49ers head coach Kyle Shanahan and president of football operations/general manager John Lynch ...,2026-01-22 06:02:36.522355
/watch?v=Lv-yPlBUrR0&pp=ygUFNDllcnM%3D,/@DavidLombardi,David Lombardi,"FINAL 49ers REACTION: Brandon Aiyuk End | Bosa, Kittle, Mykel Williams news | Shanahan + Lynch",17K,7 hours,"49ers BREAKING REACTION: Brandon Aiyuk End | Bosa, Kittle, Mykel Williams news | Shanahan + Lynch Join this channel to get ...",2026-01-22 06:02:43.776394
/watch?v=HjpE_IRpkRU&pp=ygUFNDllcnM%3D,/@RichardShermanPod,The Richard Sherman Podcast,"Robert Saleh to Titans, 49ers DC options, Bills fire McDermott, NFL’s 18-game push | Richard Sherman",9.6K,13 hours,Richard Sherman reacts to Robert Saleh landing the Tennessee Titans head coaching job and breaks down why it's one of the ...,2026-01-22 06:02:43.780476
/watch?v=tZSzRy0zrJo&pp=ygUFNDllcnM%3D,/@TheSFNiners,TheSFNiners,"Breaking: 49ers Brandon Aiyuk era officially over, Nick Bosa, electrical substation, Mac Jones ",9.8K,8 hours,TheSFNiners Exclusive Deal: Get $25 off ticket purchases when using TickPick for your gameday ticket needs ...,2026-01-22 06:02:43.782014
/watch?v=-xw6vV7HRO0&pp=ygUFNDllcnM%3D,/@SportsTalkSanFrancisco,Sports Talk San Francisco,The 49ers Quietly Dropped A MAJOR Update | San Francisco 49ers,836,2 hours,The 49ers Quietly Dropped A MAJOR Update | San Francisco 49ers Brock Purdy Christian McCaffrey Brandon Aiyuk 49ers News ...,2026-01-22 06:02:43.785436
/watch?v=os6g-3ibENA&pp=ygUFNDllcnM%3D,/@NBCSAuthentic,NBC Sports Bay Area & California,49ers Now: How will John Lynch approach Jauan Jennings' upcoming free agency? | NBC Sports Bay Area,377,6 hours,"On “49ers Now,” Carlos Ramírez, Matt Maiocco, Rod Brooks and Jennifer Lee Chan discuss San Francisco's upcoming NFL free ...",2026-01-22 06:02:43.786741
/watch?v=zKB6uhTSN_I&pp=ygUFNDllcnM%3D,/@cohnzohn,Grant Cohn,The 49ers Want to Trade for Vikings Wide Receiver Jordan Addison,8.6K,9 hours,Grant Cohn discusses how the San Francisco 49ers want to trade for Jordan Addison.,2026-01-22 06:02:43.788004
/watch?v=vaj1_EllBdw&pp=ygUFNDllcnM%3D,/@damonbruceplus,Damon Bruce,49ers Offseason Work Begins NOW!,1.9K,Streamed 9 hours,Use promo code DAMON on Sleeper and get 100% match up to $100! https://Sleeper.com/promo/DAMON. Terms and conditions ...,2026-01-22 06:02:43.789444
/watch?v=wIRBUeGPz9E&pp=ygUFNDllcnM%3D,/@TheGritcodePod,The Grit Code Podcast,49ers Get Embarassed! Saleh To Titans & Conference Championship Picks | The Grit Code Podcast,3K,14 hours,"The 49ers season has come to a brutal end. Donte, Rod and Pat dive deep into what both sides of the ball failed to execute on, ...",2026-01-22 06:02:43.790882
/watch?v=6s92mp31B5M&pp=ygUFNDllcnM%3D,/@cohnzohn,Grant Cohn,Why the 49ers Might Trade for Eagles Wide Receiver AJ Brown,6.4K,1 day,Grant Cohn discusses why the San Francisco 49ers might trade for Philadelphia Eagles wide receiver AJ Brown. Join this channel ...,2026-01-22 06:02:43.792417
/watch?v=3DwlyGub5aA&pp=ygUFNDllcnM%3D,/@DavidLombardi,David Lombardi,49ers BREAKING: 14 new signings | Jauan Jennings future,36K,1 day,READ the 49ers here: https://sfstandard.com/2026/01/20/49ers-offseason-changes-jauan-jennings/ 49ers BREAKING: Jauan ...,2026-01-22 06:02:43.794881
/watch?v=33aKUkY57xk&pp=ygUFNDllcnM%3D,/@NBCSAuthentic,NBC Sports Bay Area & California,49ers GM John Lynch shares update on Brandon Aiyuk's future with the team | NBC Sports Bay Area,493,6 hours,49ers GM John Lynch and coach Kyle Shanahan speak to reporters on Wednesday to discuss San Francisco's 2025 NFL season ...,2026-01-22 06:02:43.796313
/watch?v=vGL_O7kEXQM&pp=ygUFNDllcnM%3D,/@NFL,NFL,Sunday Night Showdown! Chicago Bears vs. San Francisco 49ers FULL GAME | NFL 2025 Season Week 17,492K,3 weeks,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 06:02:43.797774
/shorts/3nFzTKvT5SU,/@FirstThingsFirst,First Things First,Nick unveils his Tiers going into Conference Championship Weekend with an extra twist 👀 #NFL #49ers,16K,4 hours,https://youtu.be/QzwLMGRvYXc #FirstThingsFirst #NFL #NFLPlayoffs Download the FOX Sports App: https://tinyurl.com/y4uouolb ...,2026-01-22 06:02:52.812389
/shorts/yoH47no0MZ4,/@NFLonFOX,NFL on FOX,Mac Jones talks about his growth this year on the 49ers 🏈🥲 #NFL #football #49ers #MacJones,48K,1 day,"NFLonFox #NFL #MacJones As we get closer to kickoff, be sure to download the FOX Sports App to stream NFL games all season ...",2026-01-22 06:02:52.814033
/shorts/9Eea0Vog3lw,/@NFLonCBS,NFL on CBS,"49ers GM John Lynch says ""It's safe to say"" Brandon Aiyuk has played his last snap with the 49ers.",20K,7 hours,NFL #Football WATCH • Subscribe to this channel: https://www.youtube.com/@NFLonCBS • Watch CBS Sports HQ: ...,2026-01-22 06:02:52.815412
/watch?v=iGSn2XlX2jg&pp=ygUFNDllcnM%3D,/@TheKruegShow,The Krueg Show,"REACTION: 49ers FINAL Presser - Brandon Aiyuk Drama, Mac Jones TRADE & More",11K,7 hours,"REACTION: 49ers FINAL Presser - Brandon Aiyuk Drama, Mac Jones TRADE & More ------------------------------------------------- Use ...",2026-01-22 06:02:52.820584
/watch?v=v3qnpKrsMtE&pp=ygUFNDllcnPSBwkJhwoBhyohjO8%3D,/@NightcapShow_,Nightcap,Unc & 49ers WR Demarcus Robinson INVITE THE SMOKE vs Seahawks in Divisional Round! | Nightcap,57K,6 days,Shannon Sharpe and Chad “Ochocinco” Johnson are joined by San Francisco 49ers wide receiver Demarcus Robinson following ...,2026-01-22 06:02:52.822264
/watch?v=RhiDds9BPS0&pp=ygUFNDllcnPSBwkJhwoBhyohjO8%3D,/@NFLonNBC,NFL on NBC,San Francisco 49ers had 'no business' competing with the Eagles | Pro Football Talk | NFL on NBC,183K,9 days,Mike Florio and Chris Simms give credit to the San Francisco 49ers for gutting out a road playoff win against the Philadelphia ...,2026-01-22 06:02:52.823908
/watch?v=R_TCelRrOGw&pp=ygUFNDllcnM%3D,/@49ersTV,49ers Report by Chat Sports,"🚨REACTION: Kyle Shanahan & John Lynch SOUND OFF On 49ers Injuries, Substation Theory, DC Search",3K,7 hours,San Francisco 49ers news and San Francisco 49ers rumors from the Kyle Shanahan and John Lynch Press conference. NINER ...,2026-01-22 06:02:52.825783
/watch?v=D-EJaZLjRM0&pp=ygUFNDllcnM%3D,/@TheKruegShow,The Krueg Show,DEEP 49ers Review: Where The Roster Stands Heading Into 2026,9.6K,Streamed 1 day,DEEP 49ers Review: Where The Roster Stands Heading Into 2026 ------------------------------------------------- Krueg Show Is In Philly ...,2026-01-22 06:02:52.827780
/watch?v=7uy4nW2si5Q&pp=ygUFNDllcnM%3D,/@NFLonFOX,NFL on FOX,"Tom Brady on 49ers vs. Seahawks, Stafford & Rams, Drake Maye vs. Texans | FULL INTERVIEW | The Herd",336K,6 days,"Tom Brady joins Colin Cowherd to preview 49ers vs. Seahawks, discuss how far Matthew Stafford and the Rams can go, and ask ...",2026-01-22 06:02:52.829487
