video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=W-sJ0KvloSA&pp=ygUIc2VhaGF3a3M%3D,/@NFLonNBC,NFL on NBC,Will Matthew Stafford get right against the Seattle Seahawks? | Chris Simms Unbuttoned | NFL on NBC,12K,7 hours,"Chris Simms and Connor Rogers go over more likely situations in the NFC Championship Game, talking about Matthew Stafford ...",2026-01-22 05:56:05.622431
/watch?v=HG9Ew2Y5aR4&pp=ygUIc2VhaGF3a3M%3D,/@Seahawks,Seattle Seahawks,Stacking Every Opportunity - NFC Championship Hype Video | Seattle Seahawks,21K,12 hours,The Seahawks get set to host the division rival Los Angeles Rams in the NFC Championship with a trip to Super Bowl LX on the ...,2026-01-22 05:56:05.624346
/watch?v=nZbscnhME9w&pp=ygUIc2VhaGF3a3M%3D,/@storys.meowia,Storys Meow ,Ryan Clark breakdown NFC Championship: Rams at Seahawks - Sam Darnold or Matthew Stafford?,9.5K,14 hours,Ryan Clark breakdown NFC Championship: Rams at Seahawks - Sam Darnold or Matthew Stafford?,2026-01-22 05:56:05.626173
/watch?v=0K4UherAFGE&pp=ygUIc2VhaGF3a3M%3D,/@SeahawksPressers,Seahawks Press Pass,Head Coach Mike Macdonald Previews NFC Championship vs. Rams,32K,8 hours,Seahawks head coach Mike Macdonald provides updates on player injuries and discusses the team's preparation for their ...,2026-01-22 05:56:05.627810
/watch?v=64L2ES9Kh58&pp=ygUIc2VhaGF3a3M%3D,/@FirstThingsFirst,First Things First,"‘Love’ that Mike McDaniel was hired as Chargers OC, Rams vs. Seahawks ‘the real Super Bowl’? | FTF",86K,6 hours,"The Los Angeles Rams and Seattle Seahawks will face off in the NFC Championship, and both teams are juggernauts in their ...",2026-01-22 05:56:05.629483
/watch?v=40vegBBKGTo&pp=ygUIc2VhaGF3a3M%3D,/@ProFootballFocus,Pro Football Focus,Los Angeles Rams vs. Seattle Seahawks Preview & Prediction | PFF,15K,11 hours,PFF's Dalton Wasserman and Trevor Sikkema preview the matchup between The Los Angeles Rams and The Seattle Seahawks.,2026-01-22 05:56:05.630861
/watch?v=brXuzBXCI1o&pp=ygUIc2VhaGF3a3M%3D,/@RichEisenShow,The Rich Eisen Show,QB Guru Jordan Palmer on Keys to Who Wins Rams vs Seahawks in NFC Title Game | The Rich Eisen Show,29K,1 day,QB Summit Founder & Coach Jordan Palmer tells Rich Eisen the keys to who wins the Los Angeles Rams vs Seattle Seahawks ...,2026-01-22 05:56:05.632455
/watch?v=_xh2Y2-yRhE&pp=ygUIc2VhaGF3a3PSBwkJhwoBhyohjO8%3D,/@NFL,NFL,Los Angeles Rams vs Seattle Seahawks | NFC Championship Game Preview,241K,1 day,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:56:05.633973
/watch?v=EQtHMKjMwXk&pp=ygUIc2VhaGF3a3M%3D,/@SeahawksPressers,Seahawks Press Pass,"Sam Darnold: ""We're Really Excited About This Opportunity"" | Seattle Seahawks",12K,8 hours,Seahawks quarterback Sam Darnold discusses the team's preparation for the NFC Championship game against the Los Angeles ...,2026-01-22 05:56:05.635462
/watch?v=nRTp6Hpnw38&pp=ygUIc2VhaGF3a3M%3D,/@Seahawks,Seattle Seahawks,Seattle Seahawks vs. San Francisco 49ers Cinematic Recap | 2025 Divisional Round,9.3K,1 day,"The Seahawks hosted the rival 49ers in the divisional round at Lumen Field, winning 41-6 to advance to the NFC Championship.",2026-01-22 05:56:05.637062
